Source,Target,Weight,X,Y,Walk
NS21 DT11 Newton,NS22 TE14 Orchard,2,1.3123201,103.8379841,N
NS22 TE14 Orchard,NS23 Somerset,2,1.303981012,103.8322417,N
NS23 Somerset,NS24 NE6 CC1 Dhoby Ghaut,1,1.300260055,103.8390737,N
NS24 NE6 CC1 Dhoby Ghaut,NS25 EW13 City Hall,2,1.298701307,103.8461119,N
NS25 EW13 City Hall,NS26 EW14 Raffles Place,2,1.292936243,103.852581,N
NS26 EW14 Raffles Place,NS27 CE2 TE20 Marina Bay,2,1.284125611,103.8514572,N
NS27 CE2 TE20 Marina Bay,NS28 Marina South Pier,2,1.276427355,103.8545925,N
NS28 Marina South Pier,NS27 CE2 TE20 Marina Bay,2,1.26924059,103.8579416,N
NE17 PTC Punggol,PE1 Cove,4,1.404546728,103.902052,N
PE1 Cove,PE2 Meridian,1,1.399281985,103.9059403,N
PE2 Meridian,PE3 Coral Edge,2,1.396912053,103.9089277,N
PE3 Coral Edge,PE4 Riviera,1,1.393909226,103.9125574,N
PE4 Riviera,PE5 Kadaloor,2,1.394524496,103.9161415,N
PE5 Kadaloor,PE6 Oasis,1,1.399584853,103.9164619,N
PE6 Oasis,PE7 Damai,2,1.402286677,103.9127036,N
PE7 Damai,NE17 PTC Punggol,2,1.402886722,103.9053214,N
NE17 PTC Punggol,PW1 Sam Kee,2,1.404546728,103.902052,N
PW1 Sam Kee,PW3 Punggol Point,2,1.409612685,103.9048099,N
PW3 Punggol Point,PW4 Samudera,1,1.41684852,103.9066284,N
PW4 Samudera,PW5 Nibong,1,1.415901719,103.9021353,N
PW5 Nibong,PW6 Sumang,1,1.411870458,103.9002935,N
PW6 Sumang,PW7 Soo Teck,1,1.408452426,103.8985387,N
PW7 Soo Teck,NE17 PTC Punggol,3,1.402886722,103.9053214,N
NE16 STC Sengkang,SE1 Compassvale,6,1.391694626,103.8954664,N
SE1 Compassvale,SE2 Rumbia,1,1.394493046,103.9004726,N
SE2 Rumbia,SE3 Bakau,1,1.391468497,103.9059522,N
SE3 Bakau,SE4 Kangkar,1,1.388092704,103.9054179,N
SE4 Kangkar,SE5 Ranggung,1,1.383978902,103.9021539,N
SE5 Ranggung,NE16 STC Sengkang,2,1.402886722,103.9053214,N
NE16 STC Sengkang,SW1 Cheng Lim,4,1.391694626,103.8954664,N
SW1 Cheng Lim,SW2 Farmway,2,1.396277631,103.8937792,N
SW2 Farmway,SW3 Kupang,1,1.397170196,103.8892882,N
SW3 Kupang,SW4 Thanggam,1,1.398212828,103.881242,N
SW4 Thanggam,SW5 Fernvale,1,1.397318155,103.8756226,N
SW5 Fernvale,SW6 Layar,2,1.391885888,103.8762959,N
